fold,participant,windows,mae,rmse,corr
150,b5dea997cb5e8f17d428c5047a9a1c08,11,2.0995630900613698,2.6184050160586536,0.8844511347056173
151,b855dfddb71e240c1990b539533cd1f6,9,3.113950142740477,4.127815403463576,0.7394661547610488
152,bbcad50219ee8a1484b4c6f000eb4e68,9,4.322217486984568,5.012367806057782,0.6814954296450676
153,bc3ae668f5930dcab54b63a9cfd0896d,10,4.457412029615113,5.421070743349716,0.3813733842429306
154,bd441b322153093e69f107a36a9b15d6,6,4.555147122386326,4.872398999350384,0.769959875980844
155,bd6de07de02a8c2e98018a1c7daecc87,26,2.9961128680851656,3.4321607906367526,0.6303298574121649
156,bdefb86f43d463ae4475291ec837f7d7,12,4.209174074808172,4.714443381869901,0.7578089093349473
157,bea4c7250c8631ddfacf57dfa386caba,18,5.028415421014271,5.489249255398948,0.7820979784582796
158,c0fec81b63a711ebc1c29a5df6e21b07,16,3.7426863354937434,4.4735789871603755,0.6871555320195293
159,c21283c11daebb61004b688f04c27715,7,3.304327264847824,3.7449105773786053,0.5799296026929639
160,c21d2515be8477a92181b9c0035a9884,6,2.6870732924737717,3.442481582619295,0.8390223981662519
161,c2d80f95e15e8973a9a943564baea1b7,18,3.2138148502238284,3.792693797246156,0.8160419863200636
162,c31fd374e5d8227a31bf8f06f0402b96,10,3.5160636005833132,4.076274060914612,0.6398239840865809
163,c37f9221f44e9ca35a49180dc05a7587,16,3.3653609044479547,4.263790529407449,0.7479665352022188
164,c4de76cb7f30c4073617bfb80fabaec6,6,2.3254513971031634,2.9856392846993853,0.8397837078405539
165,c703d4732f997328085fad609ecd6656,6,3.366786447402044,4.337869240268991,0.5836787431613466
166,c75fc80fba7cbe2b7d9cbc71be5b91a6,1,2.2817814126607097,2.2817814126607097,nan
167,c7d47e96f38254e31508ca2c19b24d29,3,3.602001024970073,4.306078215028179,0.9999936595594965
168,c98557ba920872193b0d6d8d90ac2eb0,5,4.467328786122527,5.38340873084456,0.7637146281862682
169,cf007be9a060b779cf5a71b3e59a9d5b,8,2.6381019132132506,3.0161793733039137,0.8115553608240585
170,d038cb570b5de5840c0677e72d2ba198,10,5.560032154835584,6.265860678051726,0.5614971354240427
171,d060bfe5da35b9cbd05e3dc33e167092,2,1.4105292860077472,1.6095074812050487,-0.9999999999999999
172,d1075cae00d6198eb840ad42a2df742c,9,3.663940381394709,4.261252684542758,0.680432276042016
173,d1cd5ab675681cd980ee4dd212d8c53c,3,4.460511360152839,5.199785285208414,0.743250740325412
174,d2c8a48736cfe925440115558db860ee,11,3.32400118457589,3.8578163731367185,0.6240091007909145
175,d86f28a1830ecec98f00cd0fddf8b1ef,15,2.4897018089070033,2.937202796613894,0.9146121095828688
176,da130c5ecc942e7cd705585222a42adf,4,3.155816183828788,3.8147967901954996,0.8736676797972566
177,db422d4921bbfae5352fdc90cea7bd07,3,5.10847376171891,5.208900255942612,0.6322890740362715
178,db8df8be53722b041b1e649ae0c0b5d4,2,1.0518435982724872,1.1548068934842057,1.0
179,dd2ab53554046244203dfb4a72ad4e18,2,7.291875145072964,7.721107384659789,1.0
180,dfba04a156c13a94753a56bbbdd58969,5,3.71937177373,4.304378466201316,0.6670547137929239
181,e06024d216d36ef2d7cddc8a67cf77a7,6,3.543292360894847,4.104962831275823,0.7842747373620775
182,e1b0f11a76278ee3f33e48e2d81b50d0,8,2.858460365552441,3.84240904768647,0.7839331796429688
183,e3d27e46b8e06963920efb69f95df6fc,7,4.457341041504291,4.646949807758827,0.7646429334340605
184,e535002d3f0d00b98ff8a34754d6472b,10,4.675120075030462,5.535203256060279,0.6058415271202333
185,e60e86c5e68c34e34f69aa9257eb977b,15,1.7898971635390752,2.143617253827193,0.5047041218067105
186,e8811b53add5bfb32640af600ba33399,4,3.9697741133096605,4.436630300839199,0.254127803165903
187,e946e1f85b5de2dba4edcf1aebbfdc0a,2,2.5165796941614045,3.3514965382602693,1.0
188,eb5b94ef4672c2971d18f0d95d51f892,6,3.497140327417911,4.475972763851569,0.7801690668054945
189,f066d6d9013a60a4b65eda0f2518f61a,5,2.5448002143965254,3.427019190328789,0.45579020007365373
190,f0db9e3e8b9b5080e5752383cceb34f6,8,3.3128821222549814,4.006035891946648,0.3495068904004684
191,f17129feb37d5dcec17728f50d7beb95,6,4.765735775808728,5.619042885175422,0.9785736306690084
192,f1dcebbb6fbe6d586ddb2c43c781e013,4,3.968278491093094,4.811593273379039,0.5130037065731453
193,f3e1995993cccfe83056a8deb2e315ff,14,3.8452858362378985,4.418521264972935,0.7848907298033794
194,f40ed30e72159a5c839a43fe97e0c905,18,2.989801952345314,3.410035934496456,0.7586337641433952
195,f4d488e3c8096842b645280d8f01ae43,26,3.4135104540148284,4.003401016392642,0.7306236339652045
196,f5529fbae87a8d170937d3e39d5a63cc,11,4.224596060054775,4.744479095181671,0.4478736665603255
197,f578948fdf09c92bc603dae7400b6673,6,3.684044768033479,4.172276820638522,0.6678532623600958
198,f5fa7e56d2303d8b1e3bb33d367c98c5,5,1.979803391874805,2.4749620067196725,0.8410877923541983
199,f663e0d08f34a40d5930a3298bc8e98e,5,2.2142859239256976,2.3409777084882055,0.6112329427505588
200,f7472689b3556548c03d3b064d6ab9a8,2,5.4571372823082696,6.254194018304681,-0.9999999999999999
201,fa394f6d3d077bd5568fc3bc01580806,4,6.368717737907267,7.447767012132506,0.811809602068134
202,fbcc8cd8254960ed44ffdd3390a2f6a0,1,3.5643749570840186,3.5643749570840186,nan
203,fc26652471ae91bdbbc11a8be89c362c,30,3.5299958774380817,4.157224384256142,0.682086853461801
204,fc73375dda5e5460f7088c78654a945e,13,3.4408381437032705,4.025347602391984,0.5001964826610761
205,fe8ddda4ae8c71f7054ca024b82f5c98,6,2.738854412316128,2.8570829900750256,0.3164104129018162
206,ffc4b142e017c162ed4db7b05414fc4b,23,4.2543831269695005,4.770403008756804,0.4978083387567153
