fold,participant,windows,mae,rmse,corr
123,920e275acd8721dad396513f4d7c99ea,35,3.766937856443213,4.39775629241494,0.7450588886056383
124,964412e1937376da4b5a70412a600bc9,7,2.746079519339839,3.161838250768755,0.7713793918800381
125,968356427b2638af0930896c8d4a48d5,4,1.4893169284319843,2.4244058451838297,0.7055945225677412
126,96cf40f9d3b2d69466161000cd69ae5c,10,1.0236821072151663,1.1587519848646148,0.9309628545367566
127,97487f1632fbab90426f6760a0fe94ea,11,3.067653796479978,5.006791019324918,0.7305296124972708
128,98e5152e1020930fb007145c1c60648b,8,2.409732403792845,2.8905609128746756,0.8932571166572143
129,993b20b5d910d05b5d79e0de71386a49,6,2.28263032937615,2.509340788974214,0.7371007168266372
130,9a67ed145c6e7be55b1f744897316f71,1,4.929718083067784,4.929718083067784,nan
131,9e9e21ee5dbdb37ffda3225cd0403d34,2,5.304132546482856,5.372854823707739,0.9999999999999999
132,a23be0935798553a76b4e74cfc1740f1,19,3.1446258999101655,3.9339991396515033,0.5222370530190014
133,a2949761d01e0f82cdbcc71231431959,20,3.900268215189636,4.6420504244670955,0.49976151676022645
134,a4dde9659b38b613f08b37c0c8bfa9eb,8,2.4435372813520733,2.9946625419450696,0.4984157510432596
135,a4fcfc9e92d6861285d6c5979d2fd54b,21,2.4591392391289015,2.7102851806847323,0.726350855806371
136,a52b5e80b4c7a8e05f8cc0a16ae4ea9f,2,2.641710391669407,3.1852789053851973,1.0
137,a6c1b8b62cc50f9022f018b5198648a0,8,4.570384900599656,5.128704258295411,0.31769202026147564
138,a7a320d21e232075512a494c982dc17f,9,3.786202210515324,3.955298806815658,0.12072127895005508
139,a7cb6ba9ef6b3878a4284b0d63afecd7,41,2.4403664769707936,3.3306741809789138,0.6421240603961081
140,aa77ecb82c267ad01e9899413f072025,6,5.08521419129156,5.475312281132271,0.5702902758779099
141,ab5ee451ce580a761fefd88f7b49a97f,2,1.6058441665191139,1.6112819943940875,1.0
142,ac02afb2367b89fdcab1b1245e195b27,2,1.9278846745355809,1.9800117778396376,1.0
143,ac23ab17a31d1abeea72e408ac5871c1,6,3.9442745287150527,4.920430719170802,0.9026210696521978
144,ac70fe1f8115ac361f2023269c011c3e,18,3.046844439876771,3.223867819040479,0.6805088527223153
145,aeeb186fafcc356f44cae870555f4a0d,22,3.3848072634989297,4.031677872793285,0.5804740435870657
146,b17eeda399b312140dc40b8445a8e0a5,4,2.842838197233883,3.584465187722775,0.5237304038380389
147,b1fed5ab5fbd8a1b2fd93b925849a11c,15,4.75242510257046,5.645324735553261,0.5821403042847768
148,b3db52ffec3adfc49eb061af2f2f2846,6,4.394559510099574,4.539445926345243,0.4555898059741273
149,b4d5a392109a5d0a0e6da33189e63511,1,1.5555093407726566,1.5555093407726566,nan
150,b5dea997cb5e8f17d428c5047a9a1c08,11,2.297853752625144,2.9224253927839565,0.8515855193393765
151,b855dfddb71e240c1990b539533cd1f6,9,3.23323233744774,4.130547735277861,0.7596375089899151
152,bbcad50219ee8a1484b4c6f000eb4e68,9,4.4631034920858745,5.08805513928572,0.7120089762291113
153,bc3ae668f5930dcab54b63a9cfd0896d,10,4.0724984764437435,5.113177837048636,0.442647498259159
154,bd441b322153093e69f107a36a9b15d6,6,4.282960380439182,4.579037437281133,0.8037163252309127
155,bd6de07de02a8c2e98018a1c7daecc87,26,2.9619367225677253,3.451917122541504,0.6251980443467657
156,bdefb86f43d463ae4475291ec837f7d7,12,4.304848959447604,4.7422135337390765,0.755680173630983
